# M-TEK FIRE & SAFETY LTD - PRODUCT / STOCK SEED FILE
# Edit this file and send it back. Keep the header row (row of column names) as line 5.
# Fill in: COST PRICE, QTY/OPENING BALANCE, REORDER LEVEL, UNIT (e.g. pcs, drum, roll).
# SELLING PRICE is pre-filled from the website (0 = price on request - set it or leave 0).
# Do NOT change the ID column. Columns are separated by TAB characters.
ID	NAME	CATEGORY	COST PRICE (NGN)	SELLING PRICE (NGN)	QTY / OPENING BALANCE	REORDER LEVEL	UNIT	NOTES
F001	BOX FOR BREECHING INLET	Fire		185000				featured; 
F002	BOX FOR 6KG FIRE EXTINGUISHER	Fire		55000				featured; 
F003	BOX FOR 9KG FIRE EXTINGUISHER	Fire		65000				
F004	BOX FOR FLAME FIGHTING HOSE ( BAJIK)	Fire		95000				
F005	BOX FOR FLAME FIGHTING HOSE (STANGOZ)	Fire		92000				
F006	BOX FOR FLAME FIGHTING HOSE (BRYK)	Fire		95000				
F007	BOX FOR FLAME FIGHTING HOSE (DOUBLE BAJIK)	Fire		100000				
F008	BREATHING APPARATUS	Fire		350000				
F009	CO2 2KG ANGUS	Fire		32000				
F010	CO2 3KG BRYK I	Fire		40000				
F011	CO2 3KG (BAJIK)	Fire		38000				
F012	CO2 3KG (BIZLAND I)	Fire		38000				featured; 
F013	CO2 3KG (STANGOZ I)	Fire		39500				
F014	CO2 3KG CO2 II (ANGUS)	Fire		35000				
F015	CO2 5KG (ESTINTORE)	Fire		45000				
F016	CO2 5KG (CAPITAL TELL)	Fire		45000				
F017	CO2 5KG (FLAME POINT)	Fire		40000				
F018	CO2 5KG (BIZLAND I)	Fire		45000				
F019	CO2 5KG I ANGUS	Fire		40000				
F020	CO2 5KG ( BRYK)	Fire		52000				
F021	CO2 5KG BAJIK I	Fire		50000				
F022	CO2 5KG BAJIK II	Fire		45000				
F023	CO2 5KG(ANGUS II)	Fire		46500				
F024	CO2 9KG BAJIK I	Fire		135000				featured; 
F025	CO2 9KG (ANGUS II)	Fire		180000				
F026	CO2 25 KG (FLAMESENSE)	Fire		180000				
F027	CO2 50KG	Fire		250000				
F028	COUPLINE [3"X 2" -OUTSIDE THREAD]	Fire		18000				
F029	COUPLINE [3"X 2 1/2"- INSIDE THREAD ]	Fire		18000				
F030	COUPLINE [3"X 2 1/2"- OUTSIDE THREAD ]	Fire		18000				
F031	DCP 1KG VISA	Fire		7000				
F032	DCP 1KG PJV	Fire		7000				
F033	DCP 1KG (ANL GOLD) /KBI GOLD	Fire		8000				
F034	DCP 1KG ECL MULTIPURPOSE	Fire		5000				
F035	DCP 1KG BAJIK	Fire		11500				
F036	DCP 2KG (ECL GOLD/GOLD STAR)	Fire		16000				featured; 
F037	DCP 2KG (BAJIK)	Fire		20500				
F038	DCP 3KG (BAJIK)	Fire		24000				
F039	DCP 6KG (BIZLAND)	Fire		35000				
F040	DCP 6KG MBCI II	Fire		23000				
F041	DCP 6KG ASI II	Fire		23000				
F042	DCP 6KG BAJIK II	Fire		26000				
F043	DCP 6KG AUTOMATIC FIRE EXTINGUISHER (BAJIK)	Fire		60000				
F044	DCP 6KG (ANAF GROUP I)	Fire		30000				
F045	DCP 6KG (BRYK I)	Fire		26000				
F046	DCP 6KG (FIRE-KILLER I)	Fire		26500				
F047	DCP 6KG ANGUS I ORIGINAL	Fire		50000				
F048	DCP 6KG BAJIK I	Fire		30000				featured; 
F049	DCP 6KG DCP I KEENSTOP	Fire		23000				
F050	DCP 6KG MOUNEX II	Fire		27000				
F051	DCP 6KG PJV II	Fire		28000				
F052	DCP 6KG (UMENIC II)	Fire		25000				
F053	DCP 6KG ANGUS II	Fire		26000				
F054	DCP 6KG EXTINTORE II	Fire		27000				
F055	DCP 6KG FLAME-SENSE II	Fire		30000				
F056	DCP 6KG GLORIA II	Fire		38500				
F057	DCP 9KG KEENSTOP I	Fire		40000				
F058	DCP 9KG KABGOLD I	Fire		36000				
F059	DCP 9KG EXTINTORE	Fire		38000				
F060	DCP 9KG FIRE FIGHTER/UNIQUE/EVER SAFE	Fire		40000				featured; 
F061	DCP 9KG ANGUS I	Fire		50000				
F062	DCP 9KG BAJIK I	Fire		38000				
F063	DCP 9KG BIZLAND I	Fire		37500				
F064	DCP 9KG FESCO I	Fire		38000				
F065	DCP 9KG (BRYK) I	Fire		39500				
F066	DCP 9KG (FIRE KILLER) I	Fire		38500				
F067	DCP 9KG (ANGUS) II	Fire		36000				
F068	DCP 9KG (SRI) II	Fire		45000				
F069	DCP 9KG BAJIK II	Fire		40000				
F070	DCP 9KG FLAMESENCE II	Fire		36500				
F071	DCP 12 KG M-TEK PRODUCT	Fire		40000				
F072	DCP 25KG FLAMESENSE	Fire		155000				featured; 
F073	DCP 25KG (BAJIK) I	Fire		250000				
F074	DCP 25KG (ANGUS) II	Fire		150000				
F075	DCP 50KG ANGUS	Fire		250000				
F076	DCP 50KG POZTAN	Fire		240000				
F077	DCP 50KG FLAME SENSE	Fire		200000				
F078	DCP 50KG FIRE KILLER I	Fire		350000				
F079	DCP 50KG (BAJIK) I	Fire		250000				
F080	DCP 50KG (BAJIK) I	Fire		200000				
F081	DCP (DRY CHEMICAL POWDER) KG	Fire		1500				
F082	FIRE STOP 1KG	Fire		7000				
F083	FIRE BALL AFO/ELIDE	Fire		20000				
F084	FIRE BLANKET (1.2 X 1.8) PLASTIC CONTAINER	Fire		20000				featured; 
F085	FIRE BLANKET (1X1) PLASTIC CONTAINER	Fire		10000				
F086	FIRE BLANKET (1.0 X1.0) LEATHER CONTAINER	Fire		10000				
F087	FIRE BLANKET (1.2X1.2) LEATHER CONTAINER	Fire		15000				
F088	FIRE BLANKET (1.2X1.2) PLASTIC CONTAINER	Fire		15000				
F089	FIRE BLANKET (1.8 X1.8) PLASTIC CONTAINER	Fire		25000				
F090	FIRE BLANKET CHUBB (3FT X3FT)	Fire		25000				
F091	FIRE BUCKET (BIG)	Fire		5500				
F092	FIRE BUCKET (SMALL)	Fire		5000				
F093	FIRE EXTINGUISHER LABELS( DCP6&9+Co2 5&9)	Fire		200				
F094	FIRE HOSE REEL [BRYK]	Fire		195000				
F095	FIRE HOSE REEL (BAJIK)	Fire		185000				
F096	FIRE HOSE REEL [NAFFCO]	Fire		350000				featured; 
F097	FIRE HOSE REEL [STANGOZ]	Fire		180000				
F098	FIRE HOSE REEL (CARBINET SFPS)	Fire		340000				
F099	FIRE HOSE REEL AND BOX (FIRE KILLER)	Fire		345000				
F100	FIRE HOSE REEL AND BOX (STANGOZ)	Fire		365000				
F101	FIRE HOSE REEL AND BOX (CAPITAL TELL)	Fire		350000				
F102	FIRE HOSE REEL AND BOX [BAJIK]	Fire		350000				
F103	FIRE HOSE REEL AND BOX [ANGUS]	Fire		400000				
F104	FIREMAN SUIT (BULLDOZER)	Fire		450000				
F105	FIRE TUNIC (BAJIK)	Fire		200000				
F106	FLAME FIGHTING HOSE ADAPTOR 3''X2'' MALE/FEMALE)	Fire		15000				
F107	FOAM 6LITRE II ANGUS	Fire		30000				
F108	FOAM 6LITRES (MIXED BRANDS)	Fire		35000				featured; 
F109	FOAM 9 LITRES I ORIGINAL ANGUS	Fire		55000				
F110	HAND CONTROL NOZZLE (METAL)	Fire		40000				
F111	HAND CONTROL NOZZLE (METAL/PLASTIC)	Fire		27500				
F112	HANGER (U SHAPE WITH GOLDEN COLOUR)	Fire		1500				
F113	HANGER (L SHAPE BLACK FABRICATED )	Fire		1000				
F114	HANGER (L SHAPE/SILVER/CYLINDRICAL TIP)	Fire		1500				
F115	HANGER (ROUND HEAD RED)	Fire		2000				
F116	HANGER (SIDE TYPE SILVER)	Fire		1000				
F117	HORN (2/3KG CO2 ) SHORT HORN	Fire		4000				
F118	HORN (5KG CO2 CHINA)	Fire		6500				
F119	HOSE (5KG CO2 LONDON USE)	Fire		4500				
F120	HOSE (6/9KG DCP HOSE)	Fire		3500				featured; 
F121	HOSE (CANVAS WITH COMPLETE ADAPTORS)	Fire		70000				
F122	HOSE (DURALINE WITH COMPLETE ADAPTORS) 1.5/30/10BAR	Fire		90000				
F123	HOSE (DURALINE WITH COMPLETE ADAPTORS) 2.5 /30M/13BAR	Fire		169000				
F124	HOSE (DURALINE WITH COMPLETE ADAPTORS) 2.5/30M/10BAR	Fire		105000				
F125	HOSE 50KG DCP	Fire		25000				
F126	HYDRANT (PILLAR/PEDESTRAIN)	Fire		400000				
F127	HYDRANT (UNDERGROUND AVR190809900)	Fire		0				price on request
F128	HYDRANT KEY & BAR(ALUMINIUM COLOUR) PAIR	Fire		0				price on request
F129	HYDRANT STAND PIPE (ALUMINIUM COLOUR)	Fire		0				price on request
F130	LANDING VALVE	Fire		95000				
F131	MAINTENANCE TAG (MULTIPLE COLOUR)	Fire		100				
F132	MANOMETRE (PRESSURE GAUGE)	Fire		1500				featured; 
F133	NIPPLE 1KG/2KG DCP	Fire		500				
F134	SAFETY PIN	Fire		200				
F135	STRAP (FIRE EXTINGUISHER)	Fire		1000				
F136	SPRAY JET (TRIPLE PURPOSE BRANCH)	Fire		70000				
