#,Product Name,Price,
1,BOX FOR BREECHING INLET,185,000,
2,BOX FOR 6KG FIRE EXTINGUISHER,55,000,
3,BOX FOR 9KG FIRE EXTINGUISHER,65,000,
4,BOX FOR FLAME FIGHTING HOSE ( BAJIK),95,000,
5,BOX FOR FLAME FIGHTING HOSE (STANGOZ),92,000,
6,BOX FOR FLAME FIGHTING HOSE (BRYK),95,000,
7,BOX FOR FLAME FIGHTING HOSE (DOUBLE BAJIK),100,000,
8,BREATHING APPARATUS,350,000,
9,CO2 2KG ANGUS,32,000,
10,CO2 3KG BRYK I,40,000,
11,CO2 3KG (BAJIK),38,000,
12,CO2 3KG (BIZLAND I),38,000,
13,CO2 3KG (STANGOZ I),39,500,
14,CO2 3KG CO2 II (ANGUS),35,000,
15,CO2  5KG  (ESTINTORE),45,000,
16,CO2 5KG (CAPITAL TELL),45,000,
17,CO2 5KG (FLAME POINT),40,000,
18,CO2 5KG  (BIZLAND I),45,000,
19,CO2 5KG I ANGUS,40,000,
20,CO2 5KG ( BRYK),52,000,
21,CO2 5KG BAJIK   I,50,000,
22,CO2 5KG BAJIK II,45,000,
23,CO2 5KG(ANGUS II),46,500,
24,CO2 9KG BAJIK I,135,000,
25,CO2 9KG (ANGUS II),180,000,
26,CO2 25 KG (FLAMESENSE),180,000,
27,CO2 50KG,250,000,
28,COUPLINE  [3"X 2" -OUTSIDE THREAD],18,000,
29,COUPLINE [3"X 2 1/2"- INSIDE THREAD ],18,000,
30,COUPLINE [3"X 2 1/2"- OUTSIDE THREAD ],18,000,
31,DCP 1KG   VISA,7,000,
32,DCP 1KG  PJV,7,000,
33,DCP 1KG  (ANL  GOLD)  /KBI  GOLD,8,000,
34,DCP 1KG  ECL MULTIPURPOSE,5,000,
35,DCP 1KG BAJIK,11,500,
36,DCP 2KG (ECL GOLD/GOLD STAR),16,000,
37,DCP 2KG (BAJIK),20,500,
38,DCP 3KG (BAJIK),24,000,
39,DCP 6KG  (BIZLAND),35,000,
40,DCP 6KG  MBCI II,23,000,
41,DCP 6KG ASI II,23,000,
42,DCP 6KG BAJIK II,26,000,
43,DCP 6KG AUTOMATIC FIRE EXTINGUISHER (BAJIK),60,000,
44,DCP 6KG (ANAF GROUP I),30,000,
45,DCP 6KG (BRYK I),26,000,
46,DCP 6KG (FIRE-KILLER I),26,500,
47,DCP 6KG ANGUS I ORIGINAL,50,000,
48,DCP 6KG BAJIK I,30,000,
49,DCP 6KG DCP I KEENSTOP,23,000,
50,DCP 6KG MOUNEX II,27,000,
51,DCP 6KG PJV II,28,000,
52,DCP 6KG (UMENIC II),25,000,
53,DCP 6KG ANGUS II,26,000,
54,DCP 6KG EXTINTORE II,27,000,
55,DCP 6KG FLAME-SENSE II,30,000,
56,DCP 6KG GLORIA II,38,500,
57,DCP 9KG  KEENSTOP I,40,000,
58,DCP 9KG  KABGOLD I,36,000,
59,DCP 9KG EXTINTORE,38,000,
60,DCP 9KG FIRE FIGHTER/UNIQUE/EVER SAFE,40,000,
61,DCP 9KG ANGUS I,50,000,
62,DCP 9KG BAJIK I,38,000,
63,DCP 9KG BIZLAND I,37,500,
64,DCP 9KG FESCO I,38,000,
65,DCP 9KG (BRYK) I,39,500,
66,DCP 9KG (FIRE KILLER) I,38,500,
67,DCP 9KG (ANGUS) II,36,000,
68,DCP 9KG (SRI) II,45,000,
69,DCP 9KG BAJIK II,40,000,
70,DCP 9KG FLAMESENCE II,36,500,
71,DCP 12 KG M-TEK PRODUCT,40,000,
72,DCP 25KG   FLAMESENSE,155,000,
73,DCP 25KG (BAJIK) I,250,000,
74,DCP 25KG (ANGUS) II,150,000,
75,DCP 50KG   ANGUS,250,000,
76,DCP 50KG  POZTAN,240,000,
77,DCP 50KG  FLAME SENSE,200,000,
78,DCP 50KG FIRE KILLER  I,350,000,
79,DCP 50KG (BAJIK) I,250,000,
80,DCP 50KG (BAJIK) I,200,000,
81,DCP  (DRY  CHEMICAL POWDER) KG,1,500,
82,FIRE STOP 1KG,7,000,
83,FIRE BALL AFO/ELIDE,20,000,
84,FIRE BLANKET  (1.2 X 1.8) PLASTIC CONTAINER,20,000,
85,FIRE BLANKET  (1X1) PLASTIC CONTAINER,10,000,
86,FIRE BLANKET (1.0 X1.0) LEATHER CONTAINER,10,000,
87,FIRE BLANKET (1.2X1.2)  LEATHER  CONTAINER,15,000,
88,FIRE BLANKET (1.2X1.2)  PLASTIC  CONTAINER,15,000,
89,FIRE BLANKET (1.8 X1.8)  PLASTIC  CONTAINER,25,000,
90,FIRE BLANKET CHUBB (3FT X3FT),25,000,
91,FIRE BUCKET (BIG),5,500,
92,FIRE BUCKET (SMALL),5,000,
93,FIRE EXTINGUISHER LABELS( DCP6&9+Co2 5&9),200,
94,FIRE HOSE REEL   [BRYK],195,000,
95,FIRE HOSE REEL (BAJIK),185,000,
96,FIRE HOSE REEL [NAFFCO],350,000,
97,FIRE HOSE REEL [STANGOZ],180,000,
98,FIRE HOSE REEL (CARBINET SFPS),340,000,
99,FIRE HOSE REEL AND BOX  (FIRE KILLER),345,000,
100,FIRE HOSE REEL AND BOX  (STANGOZ),365,000,
101,FIRE HOSE REEL AND BOX  (CAPITAL TELL),350,000,
102,FIRE HOSE  REEL  AND BOX  [BAJIK],350,000,
103,FIRE HOSE REEL AND BOX  [ANGUS],400,000,
104,FIREMAN SUIT (BULLDOZER),450,000,
105,FIRE TUNIC (BAJIK),200,000,
106,FLAME FIGHTING HOSE ADAPTOR 3''X2'' MALE/FEMALE),15,000,
107,FOAM 6LITRE II ANGUS,30,000,
108,FOAM 6LITRES (MIXED BRANDS),35,000,
109,FOAM 9 LITRES I ORIGINAL ANGUS,55,000,
110,HAND CONTROL NOZZLE (METAL),40,000,
111,HAND CONTROL NOZZLE (METAL/PLASTIC),27,500,
112,HANGER  (U SHAPE WITH GOLDEN COLOUR),1,500,
113,HANGER (L SHAPE BLACK FABRICATED ),1,000,
114,HANGER (L SHAPE/SILVER/CYLINDRICAL TIP),1,500,
115,HANGER (ROUND HEAD RED),2,000,
116,HANGER (SIDE TYPE SILVER),1,000,
117,HORN (2/3KG CO2 ) SHORT HORN,4,000,
118,HORN (5KG CO2 CHINA),6,500,
119,HOSE (5KG CO2 LONDON USE),4,500,
120,HOSE (6/9KG DCP HOSE),3,500,
121,HOSE (CANVAS WITH COMPLETE ADAPTORS),70,000,
122,HOSE (DURALINE  WITH COMPLETE ADAPTORS) 1.5/30/10BAR,90,000,
123,HOSE (DURALINE  WITH COMPLETE ADAPTORS) 2.5 /30M/13BAR,169,000,
124,HOSE (DURALINE  WITH COMPLETE ADAPTORS) 2.5/30M/10BAR,105,000,
125,HOSE 50KG DCP,25,000,
126,HYDRANT (PILLAR/PEDESTRAIN),400,000,
127,HYDRANT (UNDERGROUND AVR190809900),N/A,
128,HYDRANT KEY & BAR(ALUMINIUM COLOUR) PAIR,N/A,
129,HYDRANT STAND PIPE (ALUMINIUM COLOUR),N/A,
130,LANDING VALVE,95,000,
131,MAINTENANCE TAG (MULTIPLE COLOUR),100,
132,MANOMETRE (PRESSURE GAUGE),1,500,
133,NIPPLE 1KG/2KG DCP,500,
134,SAFETY PIN,200,
135,STRAP (FIRE EXTINGUISHER),1,000,
136,SPRAY JET (TRIPLE PURPOSE BRANCH),70,000,
137,SPACEMAN (AUTOMATIC FIRE EXSTINGUISHER),85,000,
138,VALVE CO2 FOR: (2,3 & 5KG),9,000,
139,VALVE DCP  25KG/50KG,25,000,
140,VALVE DCP 25KG/50KG STEERING,15,000,
141,VALVE DCP (9KG/6KG),5,000,
142,WATER 9LITRE I ANGUS (UK WATER H2O),50,000,
143,WATER  SPRINKLER HEADS 3/4,6,000,
144,WATER SPRINKLER HEADS,4,000,
145,WATER SPRINKLER HEADS (CASING),1,500,

Generated by Kimi AI
