#,Product Name,Price,
1,BAOFENG TWO WAY RADIO BF-7775,18,000,
2,BAOFENG TWO WAY RADIO BF-888,19,000,
3,BATTERY (12VOLTS/7.2AH)PANASONIC/EVERGOOD/TIRELESS,18,000,
4,BATTERY (9VOLTS/6F22M[HI-WATTS),1,000,
5,BATTERY for BAOFENG RADIO,5,000,
6,BELL (24 VDC CHLORIDE UK),15,000,
7,BELL (24 VDC JORDY B4:H104DY),12,000,
8,BELL (24 VDC ZETA 6"),10,000,
9,CABLE (FIRE ALARM/1.5MM x2/100M/100% COPPER KUBIX),120,000,
10,CABLE (FIRE ALARM\1.5MMx2\100M (ACCESS KING),56,000,
11,CABLE (FIRE ALARM\1.5MMx2\100M\KUBIX(NON COPPER,56,000,
12,CABLE (HDMI CABLE) 2m,3,000,
13,CABLE (TELEPHONE \2P\300 YARDS\ACCESS KING),36,000,
14,CABLE (TELEPHONE\2P\100M KUBIX),16,000,
15,CABLE (TELEPHONE\2P\200 YARDS\ACCESS KING),30,000,
16,CABLE (VGA CABLE),5,000,
17,CABLE TELEPHONE 2P/200 YARDS /ACCESS KING,32,000,
18,CALL POINT (KIDI FIRE BOX),10,500,
19,CALL POINT (ZETA RESETTABLE),18,000,
20,CALL POINT CHLORIDE UK (CP-387),8,500,
21,CAMERA (BATTERY CAM IP V380),36,000,
22,CAMERA (BULB CAM IPC-V380-E27),30,000,
23,CAMERA (INDOOR 2.0MP/WP-AH5536TC WINPOSSEE),21,000,
24,CAMERA (INDOOR CAMERA V380 World Vision),50,000,
25,CAMERA (INDOOR SEARCH/420TVL/SH-HLD),15,000,
26,CAMERA (INDOOR SOON: 6MM/3.6MM/220B),20,000,
27,CAMERA (INDOOR SOON:3.6MM/OO3G),18,000,
28,CAMERA (INDOOR VR CAM),30,000,
29,CAMERA INDOOR WINPOSSEE : WP- AH5624 VMH\1.3MP,21,500,
30,CAMERA INDOOR WINPOSSEE :WP-AH5006TC\2.0MP,22,000,
31,CAMERA INDOOR WINPOSSEE 4MP F5024VK4,35,200,
32,CAMERA OUTDOOR SOON \3.6MM\K702,N/A,
33,CAMERA OUTDOOR SOON \6MM\007B,N/A,
34,CAMERA OUTDOOR WINPOSSEE : WP 6036TC- U\2.0 MP,22,500,
35,CAMERA OUTDOOR WINPOSSEE \0.2MP\WP-6136 TS-A ( IP CAM),38,000,
36,CAMERA OUTDOOR WINPOSSEE \1.8MP\AH6036  MH-S,N/A,
37,CAMERA OUTDOOR WINPOSSEE \2.0MP\WP- AH6024 TC,22,000,
38,CAMERA OUTDOOR WINPOSSEE \4MP \WP-F6024K4,35,200,
39,CAMERA OUTDOOR WINPOSSEE\1.3MP\WP-6036MC-S (IP CAM),38,000,
40,CAMERA POWER ADAPTOR (WINPOSSEE),N/A,
41,CAMERA SOLAR PTZ,150,000,
42,CAMERA WI-FI SMART CAMERA,25,000,
43,DVR EIGHT CHANNELS (WINPOSSEE),73,600,
44,DVR FOUR CHANNELS (CHLORIDE UK),50,000,
45,DVR FOUR CHANNELS (NON - BRANDED),55,000,
46,DVR FOUR CHANNELS WINPOSSEE,70,000,
47,DVR SIXTEEN CHANNEL  (WINPOSSEE),N/A,
48,DVR SIXTEEN CHANNEL (CHLORIDE UK),N/A,
49,DVR SIXTEEN CHANNEL (CODY -XUN),115,000,
50,DVR SIXTEEN CHANNEL (WINPOSSEE) 5MP,N/A,
51,EMERGENCY/EXIT LIGHT (WITHOUT SIGNAGE),25,000,
52,FIRE ALARM (CHLORIDE UK SOUNDER/STROBE - CP 313-SF),26,000,
53,FIRE ALARM SOUNDER FLASHER (CHLORIDE uk} MODEL:CP 408-CS/F),25,000,
54,FLASHER (12 VOLTS),6,500,
55,FLASHER (24 VOLTS),6,000,
56,HARD DRIVE ( 1TB),45,000,
57,HEAT DETECTOR (CHLORIDE  UK/AH-751-2),N/A,
58,INDUSTRIAL SAFETY BELT(SAFETY HARNESS BELT),N/A,
59,INFRARED (PIR-9822  PASSIVE INFRARED INTRUSION DETECTOR,20,000,
60,MAGNETIC DOOR CONTACT ( 2 FOR A PAIR),7,500,
61,MANUAL CALL POINT (INFINITY PLUS) IP -04 Resetable,12,000,
62,NVR EIGHT CHANNELS (WINPOSSEE/POE),96,000,
63,PANEL ( VICA UK 6 ZONE [FAP]),200,000,
64,PANEL (1 ZONE FAP CHLORIDE UK),120,000,
65,PANEL (2 ZONE FAP CHLORIDE UK),125,000,
66,PANEL (2 ZONE FAP ZETA),N/A,
67,PANEL (CHLORIDE OPTICAL UK 4 ZONE [FAP]),N/A,
68,PANEL (C-TECH-FF380-2) 2 ZONE FAP,95,000,
69,PANEL (MAXLOGIC 2 ZONE FIRE ALARM PANEL [FAP]),N/A,
70,PANEL (TEXECOM/VARITAS 8 BUGLAR ALARM PANEL),N/A,
71,PANEL (VICA UK 1 ZONE [FAP]),N/A,
72,PANEL (VICA UK 2 ZONE [FAP]),95,000,
73,PANEL (VICA UK 4 ZONE [FAP]),145,000,
74,PANIC BUTTON,5,000,
75,PSU EIGHT CHANNELS,26,000,
76,PSU EIGHTEEN CHANNEL (20A /30A),32,000,
77,PSU FOUR CHANNELS,21,000,
78,SIREN (MINI MOTOR SIREN MS 190),N/A,
79,SIREN (MOTOR SIREN (MS- 290 12VDC),30,000,
80,SIREN (MOTOR SIREN MS -290 220VAC/240VAC),N/A,
81,SIREN (MOTOR SIREN: MS 290 24VDC),25,000,
82,SIREN KIDI,15,000,
83,SIREN (ONE TONE SIREN HORN),15,000,
84,SIREN (ZETA CYLINDRICAL SHAPE),25,000,
85,SIREN (ZETA SQUARE SHAPE),20,000,
86,SIREN HORN SPEAKER,N/A,
87,SIREN INFINITY PLUS 24V/IR -065,30,000,
88,SIREN TWO (2) TONES 12V/30WATTS,20,000,
89,SIREN TWO TONES 24V/DC 30WATTS,22,000,
90,SIREN ZETA (CYLINDRICAL SHAPE),28,000,
91,SIX TONE SIREN (ES 200 ELECTRONIC SIREN),25,000,
92,SMOKE ALARM  (STAND ALONE [CEMAT/LX98B]),12,000,
93,SMOKE ALARM (CSD-218 CHLORIDE UK),13,000,
94,SMOKE ALARM (FSD-418 CHLORIDE UK),11,000,
95,SMOKE ALARM (STAND ALONE [CONFIDENCE UK/AH/8ND500]),6,000,
96,SMOKE ALARM (STAND ALONE [GENERAL PURPOSE]),6,000,
97,SMOKE ALARM (STAND ALONE [JABO/JB-8O3]),N/A,
98,SMOKE ALARM (STAND ALONE [SUPER PROTECH/85DB]),N/A,
99,SMOKE ALARM (VICA UK) STAND ALONE,N/A,
100,SMOKE ALARM CHLORIDE UK (CSD-218),9,000,
101,SMOKE ALARM(STAND ALONE[COMOT]),N/A,
102,SMOKE DETECTOR  (NUMENS/SNC300-52),N/A,
103,SMOKE DETECTOR ( GENT  NON-ADDRESSABLE),20,000,
104,SMOKE DETECTOR (CHLORIDE UK [AH-388-2]),15,000,
105,SMOKE DETECTOR (ZETA  P/ PART  NO:80-022),18,000,
106,SMOKE DETECTOR (ZETA/ PART NO: 80-200),20,000,
107,SMOKE DETECTOR CHLORIDE MODEL: CSD-588-2,10,000,
108,SOUND LIGHT (FIRE SIREN ALARM),40,000,
109,SOUNDER BEACON (CHLORIDE UK)  [AH-318-SF],30,000,
110,SOUNDER BEACON (WR -06BS VICA UK ) 24VDC,30,000,
111,TABLE PHONE (HUAWEI)F316,18,000,
112,VIDEO BALLON,4,000,

Generated by Kimi AI
