#,Product Name,Price,
1,AVIATION SOLAR POWERED BEACON,20,000,
2,BAOFENG  EARPIECE,3,000,
3,BODY HARNESS,50,000,
4,CAUTION CONE (50CM)SINGLE RELECTOR NECK,18,000,
5,CAUTION CONE (75CM),16,000,
6,CAUTION TRIANGLE (RED PACK),6,000,
7,CAUTION TRIANGLE 2 In 1 (BULE PACK),5,000,
8,COMPLETE OVERALL,23,000,
9,EARTH CLAMP (MUREX SAFFIRE \500A),28,000,
10,EMERGENCY/EXIT LIGHT(WITHUOT SIGNAGE),10,000,
11,EXIT SIGN  (SCHRACK [LUMINOUS TYPE]),20,000,
12,FIRST AID BOX (BIG),40,000,
13,FIRST AID BOX (SMALL),32,000,
14,FIRSTAID BOX  (MEDIUM),38,000,
15,HANDGLOVES   (FABRICKS) IN PAIRS.,1,000,
16,HANDGLOVES   (SHORT MIXED COLOUR),3,500,
17,HELMET (TOOLSMASTERS),3,000,
18,HELMET(GOLDEN GULF),5,000,
19,HELMET(MSA) GREEN DARK, WHITE & BLULE,5,000,
20,METAL DETECTOR ( COVERED HANDLE),20,000,
21,METAL DETECTOR ( GROOVED HANDLE),3,500,
22,MUSTER POINT (NON - LUMINOUS) M-TEK,1,500,
23,MUSTER POINT (PLASTIC) M-TEK,6,000,
24,NO SMOKING  ( M-TEK)  PLASTIC  (NON-LUMINOUS),6,000,
25,NOSE MASK ( FILTER MASK),500,
26,NOSE MASK (303[NP303]),2,500,
27,NOSE MASK (3M/6003),1,000,
28,NOSE MASK 303 CATRIDGE,2,500,
29,ORDINARY RAIN BOOT (BLACK) short,10,000,
30,ORDINARY RAIN BOOT (BLACK) Long,12,000,
31,PEPPER SPRAY (PS 007/PROSECURE/BODYGUARD),3,500,
32,RAIN COAT GOWN,12,500,
33,RAIN COAT UP/DOWN,13,000,
34,REFLECTIVE JACKET (BLACK  NECK 2) GREEN,3,500,
35,REFLECTIVE JACKET (BLACK NECK 1) ORANGE /GREEN,3,500,
36,REFLECTIVE JACKET (NORMAL) ORANGE /GREEN,3,500,
37,SAFETY BOOT(ARMSTRONG),25,000,
38,SAFETY BOOT(ROCK LANDER),22,000,
39,SAFTETY BODY HARNESS BELT,10,000,
40,SAFTETY RAIN BOOT (YELLOW),15,000,
41,SECURITY  BELT (BIG SIZE),6,000,
42,SECURITY  PERSONNEL  [ANKLET] PAIRS,5,000,
43,SECURITY BOOT (LEATHER /FABRICK),15,000,
44,SECURITY BOOT (LEATHER ONLY),10,000,
45,SECURITY PERSONNEL [BERET],N/A,
46,SECURITY PERSONNEL [LYNYARD],N/A,
47,SECURITY PERSONNEL BELT (SMALL SIZE),N/A,
48,SINAGE BEWARE OF DOG  (MOUNTED) [12 BY 12],4,000,
49,SINAGE CAUTION  (MOUNTED) 10 BY 12,7,000,
50,SINAGE CCTV  (MOUNTED) 10 BY 12,7,000,
51,SINAGE DANGER ELECTRIC SHOCK ... (MOUNTED) [6 BY 12],4,000,
52,SINAGE FIRE BLANKET POINT  (MOUNTED) [6 BY 12],4,000,
53,SINAGE FIRE EXIT  (MOUNTED) [6 BY 12],4,000,
54,SINAGE FIRE EXTINGUISHER  POINT  (MOUNTED) [6 BY 12],4,000,
55,SINAGE MUSTER POINT  (MOUNTED) 12BY12,7,000,
56,SINAGE FILLING  STATION  CAUTION(MOUNTED),6,000,
57,SINAGE RESTRICTED AREA   (MOUNTED) 6 BY 12,4,000,
58,SINAGE SOUND ALARM (MOUNTED) 6 BY 12,4,000,
59,SINAGE VEHICLES PARKED AT OWNERS RISK  (MOUNTED) [12 BY 12],7,000,
60,SINAGE VEHICLES PARKED AT OWNERS RISK  (MOUNTED) [6 BY 12],4,000,
61,SINAGE WORKSHOP NO ENTRANCE (MOUNTED) 6 BY 12,4,000,
62,UNDERCAR  MIRROR SEARCH,60,000,
63,VEHICULAR ''C'' CAUTION,3,000,
64,WARNING TAPE  ( CAUTION TAPE),10,000,

Generated by Kimi AI
